broad_field,major_field,field,year,n_phds
Life sciences,Agricultural sciences and natural resources,Agricultural economics,2008,111.0
Life sciences,Agricultural sciences and natural resources,Agricultural and horticultural plant breeding,2008,28.0
Life sciences,Agricultural sciences and natural resources,Agricultural animal breeding,2008,3.0
Life sciences,Agricultural sciences and natural resources,Agronomy and crop science,2008,68.0
Life sciences,Agricultural sciences and natural resources,Animal nutrition,2008,41.0
Life sciences,Agricultural sciences and natural resources,"Animal science, poultry or avian",2008,18.0
Life sciences,Agricultural sciences and natural resources,"Animal sciences, other",2008,77.0
Life sciences,Agricultural sciences and natural resources,Environmental science,2008,182.0
Life sciences,Agricultural sciences and natural resources,Fishing and fisheries sciences and management,2008,52.0
Life sciences,Agricultural sciences and natural resources,Food science,2008,96.0
Life sciences,Agricultural sciences and natural resources,"Food science and technology, other",2008,41.0
Life sciences,Agricultural sciences and natural resources,Forest sciences and biology,2008,32.0
Life sciences,Agricultural sciences and natural resources,"Forest management, forest resources management",2008,44.0
Life sciences,Agricultural sciences and natural resources,"Forestry, other",2008,17.0
Life sciences,Agricultural sciences and natural resources,Horticulture science,2008,50.0
Life sciences,Agricultural sciences and natural resources,Natural resource and environmental policy,2008,165.90491591203104
Life sciences,Agricultural sciences and natural resources,Natural resources and conservation,2008,78.0
Life sciences,Agricultural sciences and natural resources,Natural resources and environmental economics (agricultural sciences),2008,165.90491591203104
Life sciences,Agricultural sciences and natural resources,"Plant pathology and phytopathology, agricultural",2008,59.0
Life sciences,Agricultural sciences and natural resources,"Plant sciences, other",2008,39.0
Life sciences,Agricultural sciences and natural resources,"Soil chemistry, microbiology",2008,25.0
Life sciences,Agricultural sciences and natural resources,"Soil sciences, other",2008,67.0
Life sciences,Agricultural sciences and natural resources,"Wildlife, range management",2008,55.0
Life sciences,Agricultural sciences and natural resources,"Wood science, pulp and paper technology",2008,2.0
Life sciences,Agricultural sciences and natural resources,"Agricultural sciences and natural resources, generala",2008,8.0
Life sciences,Agricultural sciences and natural resources,"Agricultural sciences and natural resources, otherb",2008,5.0
Life sciences,Biological and biomedical sciences,Anatomy,2008,25.0
Life sciences,Biological and biomedical sciences,Bacteriology,2008,22.0
Life sciences,Biological and biomedical sciences,Biochemistry (biological sciences),2008,899.0
Life sciences,Biological and biomedical sciences,Bioinformatics,2008,147.0
Life sciences,Biological and biomedical sciences,Biomedical sciences,2008,268.0
Life sciences,Biological and biomedical sciences,Biometrics and biostatistics,2008,122.0
Life sciences,Biological and biomedical sciences,Biophysics (biological sciences),2008,167.0
Life sciences,Biological and biomedical sciences,Biotechnology,2008,32.0
Life sciences,Biological and biomedical sciences,Botany and plant biology,2008,105.0
Life sciences,Biological and biomedical sciences,Cancer biology,2008,289.0
Life sciences,Biological and biomedical sciences,"Cell, cellular biology, and histology",2008,376.0
Life sciences,Biological and biomedical sciences,Computational biology,2008,165.90491591203104
Life sciences,Biological and biomedical sciences,Developmental biology and embryology,2008,185.0
Life sciences,Biological and biomedical sciences,Ecology,2008,439.0
Life sciences,Biological and biomedical sciences,Endocrinology,2008,22.0
Life sciences,Biological and biomedical sciences,Entomology,2008,119.0
Life sciences,Biological and biomedical sciences,Environmental toxicologyc,2008,165.90491591203104
Life sciences,Biological and biomedical sciences,Epidemiology,2008,305.0
Life sciences,Biological and biomedical sciences,Evolutionary biology,2008,178.0
Life sciences,Biological and biomedical sciences,"Genetics, genomics, human and animal",2008,413.0
Life sciences,Biological and biomedical sciences,Immunology,2008,424.0
Life sciences,Biological and biomedical sciences,Microbiology,2008,538.0
Life sciences,Biological and biomedical sciences,Molecular biology,2008,786.0
Life sciences,Biological and biomedical sciences,Molecular medicine,2008,165.90491591203104
Life sciences,Biological and biomedical sciences,"Neurosciences, neurobiologye",2008,883.0
Life sciences,Biological and biomedical sciences,Nutrition sciences,2008,176.0
